angle,pesos_first,pesos_second
-45.5,[ 1.1542139   0.0417823  -0.16961285  0.0167967 ],[ 1.13548086  0.05868688 -0.39012391  0.01241988]
-45.4,[ 1.15339075  0.04168905 -0.1692343   0.01675921],[ 1.13629265  0.05882297 -0.39102855  0.01244868]
-45.3,[ 1.15256993  0.04159606 -0.16885682  0.01672183],[ 1.13709931  0.05895819 -0.39192748  0.01247729]
-45.2,[ 1.15175261  0.04150347 -0.16848094  0.0166846 ],[ 1.13789975  0.05909237 -0.39281946  0.01250569]
-45.1,[ 1.15093761  0.04141114 -0.16810613  0.01664749],[ 1.13869512  0.05922571 -0.39370581  0.01253391]
-45.0,[ 1.15012609  0.0413192  -0.16773293  0.01661053],[ 1.13948434  0.05935801 -0.39458529  0.01256191]
-44.9,[ 1.1493169   0.04122753 -0.1673608   0.01657368],[ 1.14026855  0.05948947 -0.3954592   0.01258973]
-44.8,[ 1.14851119  0.04113626 -0.16699026  0.01653698],[ 1.14104667  0.05961992 -0.39632632  0.01261733]
-44.7,[ 1.14770663  0.04104511 -0.16662026  0.01650034],[ 1.14182097  0.05974972 -0.39718918  0.0126448 ]
-44.6,[ 1.14690671  0.04095449 -0.16625239  0.01646391],[ 1.14258812  0.05987832 -0.39804407  0.01267202]
-44.5,[ 1.14610794  0.040864   -0.16588504  0.01642753],[ 1.14335149  0.06000629 -0.39889476  0.0126991 ]
-44.4,[ 1.14531265  0.0407739  -0.1655193   0.01639131],[ 1.1441089   0.06013326 -0.3997388   0.01272597]
-44.3,[ 1.14452082  0.0406842  -0.16515515  0.01635525],[ 1.14486038  0.06025924 -0.40057623  0.01275263]
-44.2,[ 1.1437313   0.04059475 -0.16479206  0.0163193 ],[ 1.14560706  0.06038441 -0.40140831  0.01277912]
-44.1,[ 1.14294292  0.04050544 -0.1644295   0.01628339],[ 1.14635005  0.06050896 -0.40223629  0.01280548]
-44.0,[ 1.14215917  0.04041665 -0.16406906  0.0162477 ],[ 1.14708612  0.06063235 -0.40305654  0.01283159]
-43.9,[ 1.14137656  0.04032799 -0.16370915  0.01621206],[ 1.14781855  0.06075513 -0.40387274  0.01285758]
-43.8,[ 1.1405974   0.04023972 -0.16335083  0.01617657],[ 1.1485452   0.06087695 -0.4046825   0.01288336]
-43.7,[ 1.13982055  0.04015171 -0.16299357  0.01614119],[ 1.14926717  0.06099798 -0.40548706  0.01290897]
-43.6,[ 1.13904599  0.04006397 -0.16263736  0.01610592],[ 1.14998451  0.06111823 -0.40628644  0.01293442]
-43.5,[ 1.13827488  0.03997661 -0.16228274  0.0160708 ],[ 1.15069615  0.06123753 -0.40707948  0.01295967]
-43.4,[ 1.13750607  0.03988951 -0.16192917  0.01603579],[ 1.15140321  0.06135606 -0.4078674   0.01298475]
-43.3,[ 1.13673839  0.03980254 -0.16157613  0.01600082],[ 1.15210676  0.061474   -0.40865142  0.01300971]
-43.2,[ 1.13597532  0.0397161  -0.1612252   0.01596607],[ 1.15280364  0.06159082 -0.40942801  0.01303444]
-43.1,[ 1.13521338  0.03962978 -0.1608748   0.01593137],[ 1.15349706  0.06170706 -0.41020074  0.01305904]
-43.0,[ 1.13445372  0.03954372 -0.16052544  0.01589677],[ 1.15418599  0.06182255 -0.41096847  0.01308348]
