angle,pesos_first,pesos_second
-52.0,[ 1.07974787  0.03559006 -0.138395    0.01453506],[ 0.98194411  0.03448711 -0.2201035   0.00779665]
-51.9,[ 1.07900834  0.03550065 -0.13804729  0.01449854],[ 0.98287874  0.0346511  -0.22115015  0.00783373]
-51.8,[ 1.07827317  0.03541176 -0.13770164  0.01446224],[ 0.98380452  0.03481354 -0.22218689  0.00787045]
-51.7,[ 1.07754073  0.0353232  -0.13735727  0.01442607],[ 0.98472353  0.0349748  -0.22321605  0.00790691]
-51.6,[ 1.07681183  0.03523507 -0.13701456  0.01439008],[ 0.98563482  0.0351347  -0.22423657  0.00794306]
-51.5,[ 1.07608645  0.03514736 -0.1366735   0.01435426],[ 0.98653846  0.03529326 -0.22524852  0.0079789 ]
-51.4,[ 1.07536538  0.03506017 -0.13633448  0.01431865],[ 0.9874335   0.03545031 -0.22625084  0.00801441]
-51.3,[ 1.07464701  0.03497331 -0.13599672  0.01428318],[ 0.98832201  0.03560621 -0.22724584  0.00804965]
-51.2,[ 1.07393212  0.03488688 -0.1356606   0.01424788],[ 0.98920304  0.0357608  -0.22823247  0.0080846 ]
-51.1,[ 1.07322072  0.03480086 -0.13532612  0.01421275],[ 0.99007664  0.03591409 -0.22921078  0.00811926]
-51.0,[ 1.07251197  0.03471517 -0.13499288  0.01417775],[ 0.99094386  0.03606626 -0.23018195  0.00815366]
-50.9,[ 1.07180749  0.03462999 -0.13466166  0.01414296],[ 0.9918028   0.03621697 -0.23114383  0.00818773]
-50.8,[ 1.07110566  0.03454513 -0.13433167  0.01410831],[ 0.99265545  0.03636658 -0.23209868  0.00822155]
-50.7,[ 1.07040726  0.03446068 -0.13400331  0.01407382],[ 0.9935009   0.03651493 -0.23304546  0.00825509]
-50.6,[ 1.06971229  0.03437665 -0.13367655  0.0140395 ],[ 0.9943392   0.03666202 -0.23398424  0.00828835]
-50.5,[ 1.06901995  0.03429294 -0.13335103  0.01400531],[ 0.99517137  0.03680804 -0.23491615  0.00832136]
-50.4,[ 1.06833102  0.03420964 -0.13302712  0.01397129],[ 0.99599649  0.03695282 -0.23584017  0.00835409]
-50.3,[ 1.0676455   0.03412676 -0.1327048   0.01393744],[ 0.99681462  0.03709637 -0.23675636  0.00838654]
-50.2,[ 1.06696257  0.03404418 -0.13238371  0.01390372],[ 0.99762675  0.03723887 -0.23766583  0.00841876]
-50.1,[ 1.06628303  0.03396202 -0.13206421  0.01387016],[ 0.99843199  0.03738017 -0.23856758  0.0084507 ]
-50.0,[ 1.06560687  0.03388026 -0.1317463   0.01383677],[ 0.99923038  0.03752026 -0.23946167  0.00848237]
-49.9,[ 1.06493329  0.03379882 -0.1314296   0.01380351],[ 1.00002292  0.03765932 -0.24034919  0.00851381]
-49.8,[ 1.06426228  0.03371769 -0.13111411  0.01377038],[ 1.00080963  0.03779736 -0.2412302   0.00854502]
-49.7,[ 1.06359463  0.03363696 -0.1308002   0.01373741],[ 1.00158964  0.03793423 -0.2421037   0.00857596]
-49.6,[ 1.06292953  0.03355655 -0.13048749  0.01370457],[ 1.00236391  0.03807008 -0.24297078  0.00860667]
-49.5,[ 1.06226778  0.03347653 -0.13017635  0.01367189],[ 1.00313157  0.03820478 -0.24383044  0.00863712]
-49.4,[ 1.06160858  0.03339683 -0.12986641  0.01363934],[ 1.00389358  0.03833849 -0.24468378  0.00866735]
-49.3,[ 1.0609519   0.03331743 -0.12955766  0.01360691],[ 1.00464998  0.03847121 -0.24553084  0.00869736]
-49.2,[ 1.06029856  0.03323843 -0.12925048  0.01357465],[ 1.00539989  0.03860279 -0.24637063  0.0087271 ]
-49.1,[ 1.05964774  0.03315974 -0.12894448  0.01354251],[ 1.00614427  0.03873341 -0.24720423  0.00875663]
-49.0,[ 1.05900024  0.03308145 -0.12864005  0.01351054],[ 1.00688224  0.0388629  -0.24803066  0.00878591]
-48.9,[ 1.05835446  0.03300337 -0.12833642  0.01347865],[ 1.00761568  0.03899159 -0.248852    0.008815  ]
-48.8,[ 1.05771198  0.03292569 -0.12803434  0.01344692],[ 1.00834278  0.03911917 -0.24966626  0.00884384]
-48.7,[ 1.057072    0.03284831 -0.12773344  0.01341532],[ 1.00906451  0.03924581 -0.25047449  0.00887247]
-48.6,[ 1.05643452  0.03277123 -0.12743372  0.01338384],[ 1.0097809   0.03937151 -0.25127674  0.00890089]
-48.5,[ 1.05580034  0.03269455 -0.12713554  0.01335253],[ 1.01049108  0.03949612 -0.25207204  0.00892906]
-48.4,[ 1.05516784  0.03261807 -0.12683816  0.01332129],[ 1.01119688  0.03961997 -0.25286244  0.00895706]
-48.3,[ 1.05453862  0.03254199 -0.12654232  0.01329022],[ 1.01189655  0.03974274 -0.25364598  0.00898482]
-48.2,[ 1.05391189  0.03246621 -0.12624764  0.01325927],[ 1.01259103  0.03986459 -0.25442369  0.00901236]
-48.1,[ 1.05328762  0.03239073 -0.12595413  0.01322845],[ 1.01328034  0.03998554 -0.25519561  0.00903971]
-48.0,[ 1.05266583  0.03231555 -0.12566179  0.01319774],[ 1.01396451  0.04010559 -0.25596179  0.00906685]
-47.9,[ 1.05204571  0.03224057 -0.12537022  0.01316712],[ 1.01464445  0.0402249  -0.25672323  0.00909382]
-47.8,[ 1.05142885  0.03216599 -0.12508019  0.01313666],[ 1.01531845  0.04034316 -0.25747801  0.00912056]
-47.7,[ 1.05081445  0.0320917  -0.12479132  0.01310632],[ 1.01598741  0.04046054 -0.25822715  0.00914709]
-47.6,[ 1.0502025   0.03201771 -0.12450359  0.0130761 ],[ 1.01665136  0.04057704 -0.25897069  0.00917343]
-47.5,[ 1.049593    0.03194401 -0.12421703  0.01304601],[ 1.01731035  0.04069267 -0.25970865  0.00919957]
-47.4,[ 1.04898516  0.03187052 -0.12393123  0.01301599],[ 1.01796524  0.04080759 -0.26044205  0.00922555]
-47.3,[ 1.04838055  0.03179742 -0.12364696  0.01298613],[ 1.01861437  0.04092149 -0.26116898  0.0092513 ]
-47.2,[ 1.04777759  0.03172451 -0.12336347  0.01295636],[ 1.01925947  0.04103468 -0.2618914   0.00927689]
-47.1,[ 1.04717786  0.031652   -0.12308149  0.01292675],[ 1.01989887  0.04114687 -0.26260744  0.00930225]
-47.0,[ 1.04657977  0.03157968 -0.12280029  0.01289721],[ 1.0205343   0.04125837 -0.26331902  0.00932746]
-46.9,[ 1.04598411  0.03150766 -0.12252023  0.0128678 ],[ 1.02116493  0.04136902 -0.26402524  0.00935248]
-46.8,[ 1.04539009  0.03143584 -0.12224093  0.01283846],[ 1.02179163  0.04147899 -0.26472706  0.00937734]
-46.7,[ 1.04479928  0.0313644  -0.12196315  0.01280929],[ 1.02241277  0.04158797 -0.26542264  0.00940198]
-46.6,[ 1.0442101   0.03129316 -0.12168614  0.0127802 ],[ 1.02303003  0.04169628 -0.26611388  0.00942646]
