angle,pesos_first,pesos_second
-51.6,[  6.72854557e-03  -5.42263138e-03  -6.83607126e-05  -1.64269497e-04],[  5.08754744e-04   3.23523652e-03   8.10091303e-05  -1.58742396e-03]
-51.5,[  6.71179701e-03  -5.40913347e-03  -6.81905505e-05  -1.63860601e-04],[  5.11050674e-04   3.24983663e-03   8.13747116e-05  -1.59458776e-03]
-51.4,[  6.69514801e-03  -5.39571580e-03  -6.80213999e-05  -1.63454135e-04],[  5.13324774e-04   3.26429793e-03   8.17368170e-05  -1.60168344e-03]
-51.3,[  6.67856125e-03  -5.38234829e-03  -6.78528816e-05  -1.63049189e-04],[  5.15582260e-04   3.27865357e-03   8.20962770e-05  -1.60872728e-03]
-51.2,[  6.66205501e-03  -5.36904568e-03  -6.76851815e-05  -1.62646209e-04],[  5.17820744e-04   3.29288838e-03   8.24527114e-05  -1.61571183e-03]
-51.1,[  6.64562908e-03  -5.35580779e-03  -6.75182972e-05  -1.62245189e-04],[  5.20040374e-04   3.30700328e-03   8.28061435e-05  -1.62263755e-03]
-51.0,[  6.62926470e-03  -5.34261950e-03  -6.73520383e-05  -1.61845672e-04],[  5.22243782e-04   3.32101504e-03   8.31569928e-05  -1.62951266e-03]
-50.9,[  6.61299868e-03  -5.32951048e-03  -6.71867786e-05  -1.61448556e-04],[  5.24426130e-04   3.33489287e-03   8.35044884e-05  -1.63632205e-03]
-50.8,[  6.59679377e-03  -5.31645071e-03  -6.70221400e-05  -1.61052933e-04],[  5.26592523e-04   3.34866924e-03   8.38494437e-05  -1.64308166e-03]
-50.7,[  6.58066829e-03  -5.30345495e-03  -6.68583082e-05  -1.60659248e-04],[  5.28740616e-04   3.36232924e-03   8.41914849e-05  -1.64978417e-03]
-50.6,[  6.56462201e-03  -5.29052303e-03  -6.66952812e-05  -1.60267497e-04],[  5.30870547e-04   3.37587374e-03   8.45306344e-05  -1.65643001e-03]
-50.5,[  6.54863626e-03  -5.27763989e-03  -6.65328691e-05  -1.59877224e-04],[  5.32984895e-04   3.38931915e-03   8.48673025e-05  -1.66302723e-03]
-50.4,[  6.53272933e-03  -5.26482026e-03  -6.63712577e-05  -1.59488875e-04],[  5.35081336e-04   3.40265069e-03   8.52011193e-05  -1.66956858e-03]
-50.3,[  6.51690102e-03  -5.25206400e-03  -6.62104452e-05  -1.59102445e-04],[  5.37160006e-04   3.41586922e-03   8.55321064e-05  -1.67605448e-03]
-50.2,[  6.50113269e-03  -5.23935607e-03  -6.60502420e-05  -1.58717480e-04],[  5.39223450e-04   3.42899092e-03   8.58606690e-05  -1.68249286e-03]
-50.1,[  6.48544261e-03  -5.22671122e-03  -6.58908339e-05  -1.58334425e-04],[  5.41269369e-04   3.44200118e-03   8.61864411e-05  -1.68887657e-03]
-50.0,[  6.46983062e-03  -5.21412929e-03  -6.57322191e-05  -1.57953277e-04],[  5.43297894e-04   3.45490083e-03   8.65094436e-05  -1.69520600e-03]
-49.9,[  6.45427809e-03  -5.20159528e-03  -6.55742084e-05  -1.57573581e-04],[  5.45311538e-04   3.46770585e-03   8.68300765e-05  -1.70148900e-03]
-49.8,[  6.43878487e-03  -5.18910907e-03  -6.54168003e-05  -1.57195332e-04],[  5.47310402e-04   3.48041688e-03   8.71483561e-05  -1.70772589e-03]
-49.7,[  6.42336924e-03  -5.17668539e-03  -6.52601805e-05  -1.56818977e-04],[  5.49292219e-04   3.49301951e-03   8.74639213e-05  -1.71390958e-03]
-49.6,[  6.40801260e-03  -5.16430926e-03  -6.51041600e-05  -1.56444063e-04],[  5.51259472e-04   3.50552953e-03   8.77771674e-05  -1.72004784e-03]
-49.5,[  6.39273324e-03  -5.15199541e-03  -6.49489247e-05  -1.56071036e-04],[  5.53209911e-04   3.51793262e-03   8.80877362e-05  -1.72613362e-03]
-49.4,[  6.37751259e-03  -5.13972886e-03  -6.47942859e-05  -1.55699441e-04],[  5.55145997e-04   3.53024444e-03   8.83960196e-05  -1.73217463e-03]
-49.3,[  6.36235050e-03  -5.12750952e-03  -6.46402420e-05  -1.55329277e-04],[  5.57067826e-04   3.54246560e-03   8.87020330e-05  -1.73817115e-03]
-49.2,[  6.34726526e-03  -5.11535211e-03  -6.44869789e-05  -1.54960989e-04],[  5.58973171e-04   3.55458193e-03   8.90054215e-05  -1.74411623e-03]
-49.1,[  6.33223831e-03  -5.10324167e-03  -6.43343080e-05  -1.54594123e-04],[  5.60864465e-04   3.56660891e-03   8.93065726e-05  -1.75001748e-03]
-49.0,[  6.31728794e-03  -5.09119296e-03  -6.41824152e-05  -1.54229128e-04],[  5.62739496e-04   3.57853247e-03   8.96051341e-05  -1.75586797e-03]
-48.9,[  6.30237720e-03  -5.07917617e-03  -6.40309249e-05  -1.53865099e-04],[  5.64602972e-04   3.59038255e-03   8.99018560e-05  -1.76168242e-03]
-48.8,[  6.28754278e-03  -5.06722090e-03  -6.38802101e-05  -1.53502935e-04],[  5.66450385e-04   3.60213049e-03   9.01960199e-05  -1.76744674e-03]
