angle,pesos_first,pesos_second
-51.5,[  9.58828144e-03  -7.72733353e-03  -9.74150721e-05  -2.34086573e-04],[ 0.00073007  0.00464262  0.00011625 -0.00227798]
-51.4,[  9.56449716e-03  -7.70816543e-03  -9.71734284e-05  -2.33505907e-04],[ 0.00073332  0.00466328  0.00011677 -0.00228812]
-51.3,[  9.54080178e-03  -7.68906899e-03  -9.69326880e-05  -2.32927413e-04],[ 0.00073655  0.00468379  0.00011728 -0.00229818]
-51.2,[  9.51722145e-03  -7.67006526e-03  -9.66931164e-05  -2.32351727e-04],[ 0.00073974  0.00470413  0.00011779 -0.00230816]
-51.1,[  9.49375583e-03  -7.65115398e-03  -9.64547103e-05  -2.31778841e-04],[ 0.00074291  0.00472429  0.00011829 -0.00231805]
-51.0,[  9.47037814e-03  -7.63231357e-03  -9.62171976e-05  -2.31208103e-04],[ 0.00074606  0.00474431  0.0001188  -0.00232788]
-50.9,[  9.44714096e-03  -7.61358640e-03  -9.59811123e-05  -2.30640795e-04],[ 0.00074918  0.00476413  0.00011929 -0.0023376 ]
-50.8,[  9.42399110e-03  -7.59492959e-03  -9.57459143e-05  -2.30075618e-04],[ 0.00075228  0.00478381  0.00011978 -0.00234726]
-50.7,[  9.40095470e-03  -7.57636422e-03  -9.55118689e-05  -2.29513211e-04],[ 0.00075534  0.00480333  0.00012027 -0.00235683]
-50.6,[  9.37803145e-03  -7.55789004e-03  -9.52789731e-05  -2.28953567e-04],[ 0.00075839  0.00482268  0.00012076 -0.00236633]
-50.5,[  9.35519466e-03  -7.53948555e-03  -9.50469558e-05  -2.28396034e-04],[ 0.00076141  0.00484188  0.00012124 -0.00237575]
-50.4,[  9.33247047e-03  -7.52117180e-03  -9.48160825e-05  -2.27841250e-04],[ 0.0007644   0.00486093  0.00012172 -0.0023851 ]
-50.3,[  9.30985860e-03  -7.50294857e-03  -9.45863503e-05  -2.27289208e-04],[ 0.00076737  0.00487981  0.00012219 -0.00239436]
-50.2,[  9.28733241e-03  -7.48479439e-03  -9.43574885e-05  -2.26739257e-04],[ 0.00077032  0.00489856  0.00012266 -0.00240356]
-50.1,[  9.26491802e-03  -7.46673031e-03  -9.41297627e-05  -2.26192036e-04],[ 0.00077324  0.00491714  0.00012312 -0.00241268]
-50.0,[  9.24261517e-03  -7.44875613e-03  -9.39031701e-05  -2.25647539e-04],[ 0.00077614  0.00493557  0.00012358 -0.00242172]
-49.9,[  9.22039727e-03  -7.43085040e-03  -9.36774406e-05  -2.25105115e-04],[ 0.00077902  0.00495387  0.00012404 -0.0024307 ]
-49.8,[  9.19826410e-03  -7.41301296e-03  -9.34525718e-05  -2.24564760e-04],[ 0.00078187  0.00497202  0.0001245  -0.00243961]
-49.7,[  9.17624176e-03  -7.39526485e-03  -9.32288292e-05  -2.24027110e-04],[ 0.0007847   0.00499003  0.00012495 -0.00244844]
-49.6,[  9.15430371e-03  -7.37758465e-03  -9.30059429e-05  -2.23491519e-04],[ 0.00078751  0.0050079   0.0001254  -0.00245721]
-49.5,[  9.13247606e-03  -7.35999344e-03  -9.27841782e-05  -2.22958622e-04],[ 0.0007903   0.00502562  0.00012584 -0.00246591]
-49.4,[  9.11073227e-03  -7.34246980e-03  -9.25632655e-05  -2.22427773e-04],[ 0.00079307  0.00504321  0.00012628 -0.00247454]
-49.3,[  9.08907214e-03  -7.32501360e-03  -9.23432029e-05  -2.21898967e-04],[ 0.00079581  0.00506067  0.00012672 -0.0024831 ]
-49.2,[  9.06752180e-03  -7.30764587e-03  -9.21242556e-05  -2.21372841e-04],[ 0.00079853  0.00507797  0.00012715 -0.00249159]
-49.1,[  9.04605473e-03  -7.29034525e-03  -9.19061543e-05  -2.20848748e-04],[ 0.00080123  0.00509516  0.00012758 -0.00250002]
-49.0,[  9.02469706e-03  -7.27313279e-03  -9.16891645e-05  -2.20327325e-04],[ 0.00080391  0.00511219  0.00012801 -0.00250838]
-48.9,[  9.00339600e-03  -7.25596596e-03  -9.14727499e-05  -2.19807285e-04],[ 0.00080658  0.00512912  0.00012843 -0.00251669]
-48.8,[  8.98220397e-03  -7.23888700e-03  -9.12574430e-05  -2.19289907e-04],[ 0.00080921  0.0051459   0.00012885 -0.00252492]
-48.7,[  8.96109450e-03  -7.22187458e-03  -9.10429750e-05  -2.18774544e-04],[ 0.00081183  0.00516256  0.00012927 -0.0025331 ]
-48.6,[  8.94006744e-03  -7.20492857e-03  -9.08293441e-05  -2.18261193e-04],[ 0.00081443  0.00517909  0.00012968 -0.00254121]
-48.5,[  8.91914890e-03  -7.18807002e-03  -9.06168158e-05  -2.17750492e-04],[ 0.00081701  0.00519549  0.00013009 -0.00254925]
-48.4,[  8.89828616e-03  -7.17125644e-03  -9.04048545e-05  -2.17241152e-04],[ 0.00081957  0.00521178  0.0001305  -0.00255725]
-48.3,[  8.87753163e-03  -7.15453006e-03  -9.01939924e-05  -2.16734455e-04],[ 0.00082211  0.00522793  0.00013091 -0.00256517]
-48.2,[  8.85685888e-03  -7.13786959e-03  -8.99839613e-05  -2.16229754e-04],[ 0.00082463  0.00524396  0.00013131 -0.00257304]
-48.1,[  8.83626776e-03  -7.12127492e-03  -8.97747595e-05  -2.15727046e-04],[ 0.00082714  0.00525987  0.00013171 -0.00258084]
-48.0,[  8.81575813e-03  -7.10474592e-03  -8.95663857e-05  -2.15226328e-04],[ 0.00082962  0.00527566  0.0001321  -0.00258859]
-47.9,[  8.79530361e-03  -7.08826132e-03  -8.93585718e-05  -2.14726955e-04],[ 0.00083209  0.00529135  0.00013249 -0.00259629]
-47.8,[  8.77495657e-03  -7.07186335e-03  -8.91518498e-05  -2.14230206e-04],[ 0.00083453  0.00530691  0.00013288 -0.00260393]
-47.7,[  8.75469063e-03  -7.05553074e-03  -8.89459518e-05  -2.13735437e-04],[ 0.00083696  0.00532235  0.00013327 -0.0026115 ]
-47.6,[  8.73450566e-03  -7.03926338e-03  -8.87408764e-05  -2.13242645e-04],[ 0.00083937  0.00533768  0.00013365 -0.00261902]
-47.5,[  8.71440153e-03  -7.02306118e-03  -8.85366224e-05  -2.12751826e-04],[ 0.00084176  0.00535289  0.00013403 -0.00262648]
-47.4,[  8.69435190e-03  -7.00690289e-03  -8.83329220e-05  -2.12262338e-04],[ 0.00084414  0.005368    0.00013441 -0.0026339 ]
-47.3,[  8.67440911e-03  -6.99083072e-03  -8.81303072e-05  -2.11775459e-04],[ 0.0008465   0.00538298  0.00013479 -0.00264125]
-47.2,[  8.65452059e-03  -6.97480227e-03  -8.79282438e-05  -2.11289904e-04],[ 0.00084884  0.00539787  0.00013516 -0.00264856]
-47.1,[  8.63473870e-03  -6.95885976e-03  -8.77272636e-05  -2.10806952e-04],[ 0.00085116  0.00541263  0.00013553 -0.0026558 ]
-47.0,[  8.61501086e-03  -6.94296081e-03  -8.75268326e-05  -2.10325320e-04],[ 0.00085347  0.0054273   0.0001359  -0.002663  ]
-46.9,[  8.59536320e-03  -6.92712648e-03  -8.73272162e-05  -2.09845646e-04],[ 0.00085575  0.00544186  0.00013626 -0.00267014]
-46.8,[  8.57576940e-03  -6.91133555e-03  -8.71281469e-05  -2.09367286e-04],[ 0.00085803  0.00545632  0.00013662 -0.00267724]
-46.7,[  8.55628180e-03  -6.89563022e-03  -8.69301568e-05  -2.08891520e-04],[ 0.00086028  0.00547066  0.00013698 -0.00268427]
-46.6,[  8.53684787e-03  -6.87996814e-03  -8.67327118e-05  -2.08417063e-04],[ 0.00086252  0.0054849   0.00013734 -0.00269126]
-46.5,[  8.51749374e-03  -6.86437036e-03  -8.65360776e-05  -2.07944555e-04],[ 0.00086475  0.00549904  0.00013769 -0.0026982 ]
-46.4,[  8.49821931e-03  -6.84883683e-03  -8.63402532e-05  -2.07473993e-04],[ 0.00086695  0.00551308  0.00013805 -0.00270508]
